# DATA FILE CREATED BY FOREST FIRE SIMULATION
10 20 200 0.300000 0
10 20 200 0.350000 0
10 20 200 0.400000 0
10 20 200 0.450000 0
10 20 200 0.500000 0
10 20 200 0.550000 12
10 20 200 0.600000 12
10 20 200 0.650000 11
10 20 200 0.700000 11
10 20 200 0.750000 9
10 20 200 0.800000 9
10 20 200 0.850000 9
10 20 200 0.900000 9
10 20 200 0.950000 9
10 20 200 1.000000 9
40 40 1600 0.300000 0
40 40 1600 0.350000 0
40 40 1600 0.400000 0
40 40 1600 0.450000 0
40 40 1600 0.500000 0
40 40 1600 0.550000 60
40 40 1600 0.600000 49
40 40 1600 0.650000 48
40 40 1600 0.700000 44
40 40 1600 0.750000 44
40 40 1600 0.800000 42
40 40 1600 0.850000 39
40 40 1600 0.900000 39
40 40 1600 0.950000 39
40 40 1600 1.000000 39
50 40 2000 0.300000 0
50 40 2000 0.350000 0
50 40 2000 0.400000 0
50 40 2000 0.450000 0
50 40 2000 0.500000 0
50 40 2000 0.550000 0
50 40 2000 0.600000 76
50 40 2000 0.650000 63
50 40 2000 0.700000 60
50 40 2000 0.750000 56
50 40 2000 0.800000 54
50 40 2000 0.850000 51
50 40 2000 0.900000 51
50 40 2000 0.950000 49
50 40 2000 1.000000 49
75 75 5625 0.300000 0
75 75 5625 0.350000 0
75 75 5625 0.400000 0
75 75 5625 0.450000 0
75 75 5625 0.500000 0
75 75 5625 0.550000 0
75 75 5625 0.600000 114
75 75 5625 0.650000 99
75 75 5625 0.700000 90
75 75 5625 0.750000 88
75 75 5625 0.800000 82
75 75 5625 0.850000 78
75 75 5625 0.900000 76
75 75 5625 0.950000 74
75 75 5625 1.000000 74
